,statistic,date,fertiliser_type,unit,value,month_year,month,year
0,Fertiliser Price,1980-01-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,121.0,1980-01,1,1980
1,Fertiliser Price,1980-01-01,Urea (46% N),Euro per Tonne,144.0,1980-01,1,1980
2,Fertiliser Price,1980-01-01,Granular Superphosphate (16% P),Euro per Tonne,160.0,1980-01,1,1980
3,Fertiliser Price,1980-01-01,Muriate of Potash (50% K),Euro per Tonne,109.0,1980-01,1,1980
4,Fertiliser Price,1980-01-01,Compound 0-10-20,Euro per Tonne,130.0,1980-01,1,1980
5,Fertiliser Price,1980-01-01,Compound 0-7-30,Euro per Tonne,129.0,1980-01,1,1980
6,Fertiliser Price,1980-01-01,Compound 7-6-17,Euro per Tonne,151.0,1980-01,1,1980
7,Fertiliser Price,1980-01-01,Compound 10-10-20,Euro per Tonne,165.0,1980-01,1,1980
8,Fertiliser Price,1980-01-01,Compound 14-7-14,Euro per Tonne,155.0,1980-01,1,1980
9,Fertiliser Price,1980-01-01,Compound 18-6-12,Euro per Tonne,157.0,1980-01,1,1980
10,Fertiliser Price,1980-01-01,Compound 24-2.5-10,Euro per Tonne,158.0,1980-01,1,1980
11,Fertiliser Price,1980-01-01,Compound 27-2.5-5,Euro per Tonne,156.0,1980-01,1,1980
12,Fertiliser Price,1980-01-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-01,1,1980
13,Fertiliser Price,1980-01-01,Compound 8-5-18,Euro per Tonne,,1980-01,1,1980
14,Fertiliser Price,1980-01-01,Compound 20-4-10,Euro per Tonne,,1980-01,1,1980
15,Fertiliser Price,1980-01-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-01,1,1980
16,Fertiliser Price,1980-01-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-01,1,1980
17,Fertiliser Price,1980-01-01,Compound 10-5-25,Euro per Tonne,,1980-01,1,1980
18,Fertiliser Price,1980-01-01,Compound 13-6-20,Euro per Tonne,,1980-01,1,1980
19,Fertiliser Price,1980-01-01,Compound 15-3-20,Euro per Tonne,,1980-01,1,1980
20,Fertiliser Price,1980-01-01,Compound 24-2.2-10,Euro per Tonne,,1980-01,1,1980
21,Fertiliser Price,1980-01-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-01,1,1980
22,Fertiliser Price,1980-01-01,Compound 19-0-15,Euro per Tonne,,1980-01,1,1980
23,Fertiliser Price,1980-01-01,Compound 25-4-0,Euro per Tonne,,1980-01,1,1980
24,Fertiliser Price,1980-02-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,124.0,1980-02,2,1980
25,Fertiliser Price,1980-02-01,Urea (46% N),Euro per Tonne,147.0,1980-02,2,1980
26,Fertiliser Price,1980-02-01,Granular Superphosphate (16% P),Euro per Tonne,162.0,1980-02,2,1980
27,Fertiliser Price,1980-02-01,Muriate of Potash (50% K),Euro per Tonne,109.0,1980-02,2,1980
28,Fertiliser Price,1980-02-01,Compound 0-10-20,Euro per Tonne,131.0,1980-02,2,1980
29,Fertiliser Price,1980-02-01,Compound 0-7-30,Euro per Tonne,130.0,1980-02,2,1980
30,Fertiliser Price,1980-02-01,Compound 7-6-17,Euro per Tonne,154.0,1980-02,2,1980
31,Fertiliser Price,1980-02-01,Compound 10-10-20,Euro per Tonne,167.0,1980-02,2,1980
32,Fertiliser Price,1980-02-01,Compound 14-7-14,Euro per Tonne,159.0,1980-02,2,1980
33,Fertiliser Price,1980-02-01,Compound 18-6-12,Euro per Tonne,159.0,1980-02,2,1980
34,Fertiliser Price,1980-02-01,Compound 24-2.5-10,Euro per Tonne,162.0,1980-02,2,1980
35,Fertiliser Price,1980-02-01,Compound 27-2.5-5,Euro per Tonne,160.0,1980-02,2,1980
36,Fertiliser Price,1980-02-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-02,2,1980
37,Fertiliser Price,1980-02-01,Compound 8-5-18,Euro per Tonne,,1980-02,2,1980
38,Fertiliser Price,1980-02-01,Compound 20-4-10,Euro per Tonne,,1980-02,2,1980
39,Fertiliser Price,1980-02-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-02,2,1980
40,Fertiliser Price,1980-02-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-02,2,1980
41,Fertiliser Price,1980-02-01,Compound 10-5-25,Euro per Tonne,,1980-02,2,1980
42,Fertiliser Price,1980-02-01,Compound 13-6-20,Euro per Tonne,,1980-02,2,1980
43,Fertiliser Price,1980-02-01,Compound 15-3-20,Euro per Tonne,,1980-02,2,1980
44,Fertiliser Price,1980-02-01,Compound 24-2.2-10,Euro per Tonne,,1980-02,2,1980
45,Fertiliser Price,1980-02-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-02,2,1980
46,Fertiliser Price,1980-02-01,Compound 19-0-15,Euro per Tonne,,1980-02,2,1980
47,Fertiliser Price,1980-02-01,Compound 25-4-0,Euro per Tonne,,1980-02,2,1980
48,Fertiliser Price,1980-03-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,127.0,1980-03,3,1980
49,Fertiliser Price,1980-03-01,Urea (46% N),Euro per Tonne,159.0,1980-03,3,1980
50,Fertiliser Price,1980-03-01,Granular Superphosphate (16% P),Euro per Tonne,168.0,1980-03,3,1980
51,Fertiliser Price,1980-03-01,Muriate of Potash (50% K),Euro per Tonne,114.0,1980-03,3,1980
52,Fertiliser Price,1980-03-01,Compound 0-10-20,Euro per Tonne,132.0,1980-03,3,1980
53,Fertiliser Price,1980-03-01,Compound 0-7-30,Euro per Tonne,130.0,1980-03,3,1980
54,Fertiliser Price,1980-03-01,Compound 7-6-17,Euro per Tonne,154.0,1980-03,3,1980
55,Fertiliser Price,1980-03-01,Compound 10-10-20,Euro per Tonne,169.0,1980-03,3,1980
56,Fertiliser Price,1980-03-01,Compound 14-7-14,Euro per Tonne,160.0,1980-03,3,1980
57,Fertiliser Price,1980-03-01,Compound 18-6-12,Euro per Tonne,161.0,1980-03,3,1980
58,Fertiliser Price,1980-03-01,Compound 24-2.5-10,Euro per Tonne,166.0,1980-03,3,1980
59,Fertiliser Price,1980-03-01,Compound 27-2.5-5,Euro per Tonne,162.0,1980-03,3,1980
60,Fertiliser Price,1980-03-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-03,3,1980
61,Fertiliser Price,1980-03-01,Compound 8-5-18,Euro per Tonne,,1980-03,3,1980
62,Fertiliser Price,1980-03-01,Compound 20-4-10,Euro per Tonne,,1980-03,3,1980
63,Fertiliser Price,1980-03-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-03,3,1980
64,Fertiliser Price,1980-03-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-03,3,1980
65,Fertiliser Price,1980-03-01,Compound 10-5-25,Euro per Tonne,,1980-03,3,1980
66,Fertiliser Price,1980-03-01,Compound 13-6-20,Euro per Tonne,,1980-03,3,1980
67,Fertiliser Price,1980-03-01,Compound 15-3-20,Euro per Tonne,,1980-03,3,1980
68,Fertiliser Price,1980-03-01,Compound 24-2.2-10,Euro per Tonne,,1980-03,3,1980
69,Fertiliser Price,1980-03-01,Compound 24-2.2-4.5,Euro per Tonne,,1980-03,3,1980
70,Fertiliser Price,1980-03-01,Compound 19-0-15,Euro per Tonne,,1980-03,3,1980
71,Fertiliser Price,1980-03-01,Compound 25-4-0,Euro per Tonne,,1980-03,3,1980
72,Fertiliser Price,1980-04-01,Calcium Ammonium Nitrate (27.5% N),Euro per Tonne,128.0,1980-04,4,1980
73,Fertiliser Price,1980-04-01,Urea (46% N),Euro per Tonne,163.0,1980-04,4,1980
74,Fertiliser Price,1980-04-01,Granular Superphosphate (16% P),Euro per Tonne,168.0,1980-04,4,1980
75,Fertiliser Price,1980-04-01,Muriate of Potash (50% K),Euro per Tonne,114.0,1980-04,4,1980
76,Fertiliser Price,1980-04-01,Compound 0-10-20,Euro per Tonne,132.0,1980-04,4,1980
77,Fertiliser Price,1980-04-01,Compound 0-7-30,Euro per Tonne,130.0,1980-04,4,1980
78,Fertiliser Price,1980-04-01,Compound 7-6-17,Euro per Tonne,159.0,1980-04,4,1980
79,Fertiliser Price,1980-04-01,Compound 10-10-20,Euro per Tonne,170.0,1980-04,4,1980
80,Fertiliser Price,1980-04-01,Compound 14-7-14,Euro per Tonne,162.0,1980-04,4,1980
81,Fertiliser Price,1980-04-01,Compound 18-6-12,Euro per Tonne,163.0,1980-04,4,1980
82,Fertiliser Price,1980-04-01,Compound 24-2.5-10,Euro per Tonne,167.0,1980-04,4,1980
83,Fertiliser Price,1980-04-01,Compound 27-2.5-5,Euro per Tonne,162.0,1980-04,4,1980
84,Fertiliser Price,1980-04-01,Sulphate of Potash (42% K),Euro per Tonne,,1980-04,4,1980
85,Fertiliser Price,1980-04-01,Compound 8-5-18,Euro per Tonne,,1980-04,4,1980
86,Fertiliser Price,1980-04-01,Compound 20-4-10,Euro per Tonne,,1980-04,4,1980
87,Fertiliser Price,1980-04-01,Sulphate of Ammonia (21%),Euro per Tonne,,1980-04,4,1980
88,Fertiliser Price,1980-04-01,Ammonium Sulphate Nitrate (26%),Euro per Tonne,,1980-04,4,1980
89,Fertiliser Price,1980-04-01,Compound 10-5-25,Euro per Tonne,,1980-04,4,1980
90,Fertiliser Price,1980-04-01,Compound 13-6-20,Euro per Tonne,,1980-04,4,1980
91,Fertiliser Price,1980-04-01,Compound 15-3-20,Euro per Tonne,,1980-04,4,1980
