Month,Price,Change
Oct 1998,1.60,-
Nov 1998,1.80,12.92%
Dec 1998,1.49,-17.60%
Jan 1999,1.60,7.88%
Feb 1999,1.58,-1.44%
Mar 1999,1.64,4.14%
Apr 1999,2.01,22.12%
May 1999,2.12,5.41%
Jun 1999,2.22,4.68%
Jul 1999,2.23,0.71%
Aug 1999,2.63,17.89%
Sep 1999,2.42,-8.07%
Oct 1999,2.54,5.03%
Nov 1999,2.28,-10.14%
Dec 1999,2.33,2.24%
Jan 2000,2.39,2.29%
Feb 2000,2.69,12.86%
Mar 2000,2.89,7.36%
Apr 2000,3.20,10.63%
May 2000,3.95,23.48%
Jun 2000,4.51,14.10%
Jul 2000,4.21,-6.54%
Aug 2000,4.88,15.74%
Sep 2000,5.80,18.96%
Oct 2000,5.87,1.19%
Nov 2000,6.48,10.37%
Dec 2000,10.02,54.59%
Jan 2001,8.71,-13.08%
Feb 2001,6.11,-29.85%
Mar 2001,5.68,-7.10%
Apr 2001,5.80,2.13%
May 2001,4.82,-16.90%
Jun 2001,4.35,-9.73%
Jul 2001,3.60,-17.15%
Aug 2001,3.28,-9.04%
Sep 2001,2.36,-27.97%
Oct 2001,2.70,14.60%
Nov 2001,2.66,-1.76%
Dec 2001,2.70,1.64%
Jan 2002,2.55,-5.66%
Feb 2002,2.66,4.21%
Mar 2002,3.46,30.31%
Apr 2002,3.86,11.60%
May 2002,3.81,-1.42%
Jun 2002,3.37,-11.42%
Jul 2002,3.00,-10.90%
Aug 2002,3.16,5.24%
Sep 2002,3.64,15.15%
Oct 2002,4.20,15.40%
Nov 2002,4.03,-3.99%
Dec 2002,4.66,15.45%
Jan 2003,5.09,9.41%
Feb 2003,7.21,41.58%
Mar 2003,5.51,-23.64%
Apr 2003,4.88,-11.44%
May 2003,5.04,3.41%
Jun 2003,4.95,-1.90%
Jul 2003,4.41,-10.95%
Aug 2003,4.46,1.30%
Sep 2003,4.11,-7.92%
Oct 2003,3.97,-3.44%
Nov 2003,3.87,-2.43%
Dec 2003,4.99,28.88%
Jan 2004,4.83,-3.24%
Feb 2004,4.25,-11.89%
Mar 2004,4.40,3.52%
Apr 2004,4.77,8.38%
May 2004,5.28,10.72%
Jun 2004,5.16,-2.29%
Jul 2004,4.84,-6.37%
Aug 2004,4.44,-8.27%
Sep 2004,4.21,-5.14%
Oct 2004,5.13,22.01%
Nov 2004,4.69,-8.67%
Dec 2004,4.91,4.68%
Jan 2005,4.69,-4.48%
Feb 2005,4.72,0.65%
Mar 2005,5.28,11.92%
Apr 2005,5.53,4.65%
May 2005,5.10,-7.76%
Jun 2005,5.91,15.95%
Jul 2005,6.34,7.25%
Aug 2005,7.83,23.59%
Sep 2005,10.51,34.16%
Oct 2005,11.25,7.07%
Nov 2005,8.85,-21.35%
Dec 2005,10.82,22.28%
Jan 2006,7.16,-33.88%
Feb 2006,6.27,-12.32%
Mar 2006,5.74,-8.50%
Apr 2006,5.78,0.66%
May 2006,4.86,-15.97%
Jun 2006,4.89,0.79%
Jul 2006,4.93,0.70%
Aug 2006,5.46,10.88%
Sep 2006,3.82,-30.11%
Oct 2006,4.73,23.77%
Nov 2006,5.78,22.39%
Dec 2006,4.98,-13.90%
Jan 2007,5.06,1.65%
Feb 2007,6.10,20.42%
Mar 2007,5.38,-11.80%
Apr 2007,5.62,4.44%
May 2007,5.63,0.30%
Jun 2007,5.44,-3.41%
