"STATISTIC","Statistic","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","200501","2005M01","1","Milk (per litre), actual fat and protein","Euro","0.308"
"AJM07","Manufacturing Milk Prices (including VAT)","200501","2005M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.301"
"AJM07","Manufacturing Milk Prices (including VAT)","200502","2005M02","1","Milk (per litre), actual fat and protein","Euro","0.288"
"AJM07","Manufacturing Milk Prices (including VAT)","200502","2005M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.281"
"AJM07","Manufacturing Milk Prices (including VAT)","200503","2005M03","1","Milk (per litre), actual fat and protein","Euro","0.272"
"AJM07","Manufacturing Milk Prices (including VAT)","200503","2005M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","200504","2005M04","1","Milk (per litre), actual fat and protein","Euro","0.267"
"AJM07","Manufacturing Milk Prices (including VAT)","200504","2005M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.268"
"AJM07","Manufacturing Milk Prices (including VAT)","200505","2005M05","1","Milk (per litre), actual fat and protein","Euro","0.265"
"AJM07","Manufacturing Milk Prices (including VAT)","200505","2005M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.268"
"AJM07","Manufacturing Milk Prices (including VAT)","200506","2005M06","1","Milk (per litre), actual fat and protein","Euro","0.262"
"AJM07","Manufacturing Milk Prices (including VAT)","200506","2005M06","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.266"
"AJM07","Manufacturing Milk Prices (including VAT)","200507","2005M07","1","Milk (per litre), actual fat and protein","Euro","0.262"
"AJM07","Manufacturing Milk Prices (including VAT)","200507","2005M07","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","200508","2005M08","1","Milk (per litre), actual fat and protein","Euro","0.269"
"AJM07","Manufacturing Milk Prices (including VAT)","200508","2005M08","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.267"
"AJM07","Manufacturing Milk Prices (including VAT)","200509","2005M09","1","Milk (per litre), actual fat and protein","Euro","0.286"
"AJM07","Manufacturing Milk Prices (including VAT)","200509","2005M09","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.276"
"AJM07","Manufacturing Milk Prices (including VAT)","200510","2005M10","1","Milk (per litre), actual fat and protein","Euro","0.305"
"AJM07","Manufacturing Milk Prices (including VAT)","200510","2005M10","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.285"
"AJM07","Manufacturing Milk Prices (including VAT)","200511","2005M11","1","Milk (per litre), actual fat and protein","Euro","0.311"
"AJM07","Manufacturing Milk Prices (including VAT)","200511","2005M11","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.29"
"AJM07","Manufacturing Milk Prices (including VAT)","200512","2005M12","1","Milk (per litre), actual fat and protein","Euro","0.309"
"AJM07","Manufacturing Milk Prices (including VAT)","200512","2005M12","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.297"
"AJM07","Manufacturing Milk Prices (including VAT)","200601","2006M01","1","Milk (per litre), actual fat and protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","200601","2006M01","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.289"
"AJM07","Manufacturing Milk Prices (including VAT)","200602","2006M02","1","Milk (per litre), actual fat and protein","Euro","0.282"
"AJM07","Manufacturing Milk Prices (including VAT)","200602","2006M02","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.277"
"AJM07","Manufacturing Milk Prices (including VAT)","200603","2006M03","1","Milk (per litre), actual fat and protein","Euro","0.264"
"AJM07","Manufacturing Milk Prices (including VAT)","200603","2006M03","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.261"
"AJM07","Manufacturing Milk Prices (including VAT)","200604","2006M04","1","Milk (per litre), actual fat and protein","Euro","0.258"
"AJM07","Manufacturing Milk Prices (including VAT)","200604","2006M04","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.261"
"AJM07","Manufacturing Milk Prices (including VAT)","200605","2006M05","1","Milk (per litre), actual fat and protein","Euro","0.259"
"AJM07","Manufacturing Milk Prices (including VAT)","200605","2006M05","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.263"
"AJM07","Manufacturing Milk Prices (including VAT)","200606","2006M06","1","Milk (per litre), actual fat and protein","Euro","0.252"
