Month,Price,Change
Mar 2002,128.46,-
Apr 2002,127.01,-1.13%
May 2002,122.69,-3.40%
Jun 2002,117.79,-3.99%
Jul 2002,113.40,-3.73%
Aug 2002,115.09,1.49%
Sep 2002,114.71,-0.33%
Oct 2002,114.70,-0.01%
Nov 2002,112.31,-2.09%
Dec 2002,110.51,-1.60%
Jan 2003,105.94,-4.14%
Feb 2003,104.43,-1.42%
Mar 2003,104.13,-0.29%
Apr 2003,103.73,-0.39%
May 2003,97.16,-6.33%
Jun 2003,96.47,-0.71%
Jul 2003,98.94,2.56%
Aug 2003,101.03,2.11%
Sep 2003,100.30,-0.72%
Oct 2003,96.22,-4.06%
Nov 2003,96.16,-0.06%
Dec 2003,91.59,-4.76%
Jan 2004,89.20,-2.61%
Feb 2004,88.97,-0.26%
Mar 2004,91.75,3.13%
Apr 2004,93.88,2.31%
May 2004,93.78,-0.11%
Jun 2004,92.66,-1.20%
Jul 2004,91.73,-1.00%
Aug 2004,103.41,12.74%
Sep 2004,117.46,13.58%
Oct 2004,116.92,-0.46%
Nov 2004,116.40,-0.44%
Dec 2004,113.75,-2.28%
Jan 2005,116.25,2.20%
Feb 2005,117.20,0.81%
Mar 2005,115.54,-1.41%
Apr 2005,117.87,2.02%
May 2005,120.16,1.94%
Jun 2005,125.37,4.34%
Jul 2005,126.70,1.06%
Aug 2005,124.07,-2.08%
Sep 2005,124.45,0.31%
Oct 2005,126.93,2.00%
Nov 2005,142.13,11.97%
Dec 2005,141.28,-0.60%
Jan 2006,138.41,-2.04%
Feb 2006,140.31,1.38%
Mar 2006,139.36,-0.68%
Apr 2006,136.52,-2.04%
May 2006,131.18,-3.91%
Jun 2006,132.42,0.95%
Jul 2006,136.01,2.71%
Aug 2006,150.26,10.48%
Sep 2006,151.25,0.66%
Oct 2006,152.65,0.92%
Nov 2006,149.46,-2.09%
Dec 2006,145.70,-2.52%
Jan 2007,148.10,1.65%
Feb 2007,147.24,-0.58%
Mar 2007,145.38,-1.27%
Apr 2007,142.43,-2.03%
May 2007,142.48,0.03%
Jun 2007,143.46,0.69%
Jul 2007,140.36,-2.16%
Aug 2007,141.32,0.69%
Sep 2007,142.15,0.59%
Oct 2007,142.34,0.13%
Nov 2007,137.92,-3.11%
Dec 2007,138.99,0.78%
Jan 2008,156.71,12.75%
Feb 2008,162.76,3.86%
Mar 2008,154.60,-5.01%
