Month,Price,Change
Oct 1998,27.45,-
Nov 1998,27.90,1.63%
Dec 1998,27.75,-0.55%
Jan 1999,28.00,0.92%
Feb 1999,36.70,31.08%
Mar 1999,40.43,10.16%
Apr 1999,41.11,1.67%
May 1999,41.41,0.73%
Jun 1999,42.40,2.40%
Jul 1999,42.52,0.27%
Aug 1999,41.50,-2.39%
Sep 1999,41.91,0.98%
Oct 1999,41.10,-1.92%
Nov 1999,42.57,3.57%
Dec 1999,43.52,2.24%
Jan 2000,43.42,-0.24%
Feb 2000,44.75,3.06%
Mar 2000,45.63,1.97%
Apr 2000,46.48,1.87%
May 2000,48.58,4.51%
Jun 2000,46.36,-4.56%
Jul 2000,46.83,1.02%
Aug 2000,48.67,3.93%
Sep 2000,50.47,3.68%
Oct 2000,51.47,2.00%
Nov 2000,51.38,-0.17%
Dec 2000,49.26,-4.14%
Jan 2001,46.90,-4.79%
Feb 2001,47.75,1.80%
Mar 2001,48.40,1.37%
Apr 2001,49.33,1.93%
May 2001,50.35,2.05%
Jun 2001,51.57,2.44%
Jul 2001,51.14,-0.85%
Aug 2001,48.88,-4.42%
Sep 2001,48.30,-1.17%
Oct 2001,48.58,0.57%
Nov 2001,49.54,1.98%
Dec 2001,49.31,-0.47%
Jan 2002,49.82,1.04%
Feb 2002,50.57,1.50%
Mar 2002,50.24,-0.66%
Apr 2002,49.67,-1.13%
May 2002,47.99,-3.40%
Jun 2002,46.07,-3.99%
Jul 2002,44.35,-3.73%
Aug 2002,45.01,1.49%
Sep 2002,44.86,-0.33%
Oct 2002,44.86,-0.01%
Nov 2002,43.92,-2.09%
Dec 2002,43.22,-1.60%
Jan 2003,41.43,-4.14%
Feb 2003,40.84,-1.42%
Mar 2003,40.73,-0.29%
Apr 2003,40.57,-0.39%
May 2003,38.00,-6.33%
Jun 2003,37.73,-0.71%
Jul 2003,38.70,2.56%
Aug 2003,39.51,2.11%
Sep 2003,39.23,-0.72%
Oct 2003,37.63,-4.06%
Nov 2003,37.61,-0.06%
Dec 2003,35.82,-4.76%
Jan 2004,34.89,-2.61%
Feb 2004,34.80,-0.26%
Mar 2004,35.89,3.13%
Apr 2004,36.72,2.31%
May 2004,36.68,-0.11%
Jun 2004,36.24,-1.20%
Jul 2004,35.88,-1.00%
Aug 2004,36.14,0.74%
Sep 2004,36.01,-0.35%
Oct 2004,35.24,-2.16%
Nov 2004,33.87,-3.87%
Dec 2004,32.82,-3.11%
Jan 2005,33.54,2.20%
Feb 2005,33.81,0.81%
Mar 2005,33.34,-1.41%
Apr 2005,34.01,2.02%
May 2005,34.67,1.94%
Jun 2005,36.17,4.34%
Jul 2005,36.56,1.06%
Aug 2005,35.80,-2.08%
Sep 2005,35.91,0.31%
Oct 2005,36.62,2.00%
Nov 2005,37.34,1.95%
Dec 2005,37.11,-0.60%
Jan 2006,36.36,-2.04%
Feb 2006,36.86,1.38%
Mar 2006,36.61,-0.68%
Apr 2006,35.86,-2.04%
May 2006,34.46,-3.91%
Jun 2006,34.79,0.95%
Jul 2006,34.69,-0.27%
Aug 2006,34.35,-1.00%
Sep 2006,34.57,0.66%
Oct 2006,34.89,0.92%
Nov 2006,34.16,-2.09%
Dec 2006,33.30,-2.52%
Jan 2007,33.85,1.65%
Feb 2007,33.66,-0.58%
Mar 2007,33.23,-1.27%
Apr 2007,32.56,-2.03%
May 2007,32.57,0.03%
Jun 2007,32.79,0.69%
Jul 2007,32.08,-2.16%
Aug 2007,32.30,0.69%
Sep 2007,41.57,28.68%
Oct 2007,50.26,20.91%
Nov 2007,48.70,-3.11%
Dec 2007,49.08,0.78%
Jan 2008,48.58,-1.01%
Feb 2008,48.49,-0.20%
Mar 2008,46.06,-5.01%
Apr 2008,101.83,121.09%
May 2008,122.14,19.94%
Jun 2008,122.17,0.03%
Jul 2008,152.20,24.58%
Aug 2008,193.74,27.29%
Sep 2008,193.51,-0.12%
Oct 2008,338.23,74.78%
Nov 2008,353.47,4.51%
Dec 2008,335.34,-5.13%
Jan 2009,340.08,1.41%
Feb 2009,352.01,3.51%
Mar 2009,345.13,-1.95%
Apr 2009,238.85,-30.80%
May 2009,197.86,-17.16%
Jun 2009,141.27,-28.60%
Jul 2009,63.89,-54.78%
Aug 2009,63.08,-1.27%
Sep 2009,61.81,-2.01%
Oct 2009,60.75,-1.72%
Nov 2009,60.35,-0.66%
Dec 2009,61.61,2.09%
Jan 2010,63.07,2.37%
Feb 2010,65.77,4.28%
Mar 2010,66.34,0.86%
Apr 2010,67.14,1.21%
May 2010,71.59,6.63%
Jun 2010,73.73,2.99%
Jul 2010,77.35,4.92%
Aug 2010,96.97,25.36%
Sep 2010,95.65,-1.36%
Oct 2010,89.96,-5.95%
Nov 2010,91.03,1.19%
Dec 2010,94.56,3.88%
Jan 2011,93.59,-1.03%
Feb 2011,102.59,9.62%
Mar 2011,103.59,0.98%
Apr 2011,100.42,-3.06%
May 2011,102.46,2.03%
Jun 2011,107.74,5.16%
Jul 2011,113.59,5.43%
Aug 2011,127.24,12.02%
Sep 2011,132.74,4.32%
Oct 2011,137.71,3.74%
Nov 2011,143.60,4.28%
Dec 2011,147.99,3.06%
Jan 2012,151.00,2.03%
Feb 2012,143.71,-4.83%
Mar 2012,121.21,-15.66%
Apr 2012,140.56,15.97%
May 2012,152.40,8.42%
Jun 2012,154.19,1.18%
Jul 2012,153.57,-0.40%
Aug 2012,147.19,-4.16%
Sep 2012,141.81,-3.65%
Oct 2012,140.66,-0.81%
Nov 2012,142.36,1.21%
Dec 2012,139.23,-2.20%
Jan 2013,137.38,-1.33%
Feb 2013,136.63,-0.55%
Mar 2013,123.43,-9.66%
Apr 2013,85.60,-30.65%
May 2013,121.31,41.71%
Jun 2013,95.26,-21.47%
Jul 2013,87.90,-7.73%
Aug 2013,86.41,-1.70%
Sep 2013,73.01,-15.50%
Oct 2013,61.87,-15.26%
Nov 2013,64.91,4.90%
Dec 2013,70.72,8.96%
Jan 2014,71.63,1.28%
Feb 2014,71.40,-0.32%
Mar 2014,77.12,8.02%
Apr 2014,80.72,4.67%
May 2014,82.00,1.57%
