,date,fertiliser_type,fertiliser_price,month_year,month,year,phosphate_price,urea_price,milk_price,gas_price,potassium_price
10080,2015-01-01,Calcium Ammonium Nitrate (27.5% N),325.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10081,2015-01-01,Urea (46% N),399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10083,2015-01-01,Muriate of Potash (50% K),424.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10084,2015-01-01,Compound 0-10-20,411.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10085,2015-01-01,Compound 0-7-30,414.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10086,2015-01-01,Compound 7-6-17,478.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10087,2015-01-01,Compound 10-10-20,448.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10088,2015-01-01,Compound 14-7-14,438.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10089,2015-01-01,Compound 18-6-12,416.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10090,2015-01-01,Compound 24-2.5-10,433.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10091,2015-01-01,Compound 27-2.5-5,426.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10093,2015-01-01,Compound 8-5-18,426.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10094,2015-01-01,Compound 20-4-10,416.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10095,2015-01-01,Sulphate of Ammonia (21%),330.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10097,2015-01-01,Compound 10-5-25,415.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10098,2015-01-01,Compound 13-6-20,384.8356687898089,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10099,2015-01-01,Compound 15-3-20,384.8356687898089,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10101,2015-01-01,Compound 24-2.2-4.5,399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10102,2015-01-01,Compound 19-0-15,399.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10103,2015-01-01,Compound 25-4-0,412.0,2015-01,1,2015,103.06,263.04,0.345,2.56,241.05
10104,2015-02-01,Calcium Ammonium Nitrate (27.5% N),328.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10105,2015-02-01,Urea (46% N),411.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
10107,2015-02-01,Muriate of Potash (50% K),417.0,2015-02,2,2015,106.86,268.81,0.346,2.51,246.34
