Month,Price
Oct 1998,1.60
Nov 1998,1.80
Dec 1998,1.49
Jan 1999,1.60
Feb 1999,1.58
Mar 1999,1.64
Apr 1999,2.01
May 1999,2.12
Jun 1999,2.22
Jul 1999,2.23
Aug 1999,2.63
Sep 1999,2.42
Oct 1999,2.54
Nov 1999,2.28
Dec 1999,2.33
Jan 2000,2.39
Feb 2000,2.69
Mar 2000,2.89
Apr 2000,3.20
May 2000,3.95
Jun 2000,4.51
Jul 2000,4.21
Aug 2000,4.88
Sep 2000,5.80
Oct 2000,5.87
Nov 2000,6.48
Dec 2000,10.02
Jan 2001,8.71
Feb 2001,6.11
Mar 2001,5.68
Apr 2001,5.80
May 2001,4.82
Jun 2001,4.35
Jul 2001,3.60
Aug 2001,3.28
Sep 2001,2.36
Oct 2001,2.70
Nov 2001,2.66
Dec 2001,2.70
Jan 2002,2.55
Feb 2002,2.66
Mar 2002,3.46
Apr 2002,3.86
May 2002,3.81
Jun 2002,3.37
Jul 2002,3.00
Aug 2002,3.16
Sep 2002,3.64
Oct 2002,4.20
Nov 2002,4.03
Dec 2002,4.66
Jan 2003,5.09
Feb 2003,7.21
Mar 2003,5.51
Apr 2003,4.88
May 2003,5.04
Jun 2003,4.95
Jul 2003,4.41
Aug 2003,4.46
Sep 2003,4.11
Oct 2003,3.97
Nov 2003,3.87
Dec 2003,4.99
Jan 2004,4.83
Feb 2004,4.25
Mar 2004,4.40
Apr 2004,4.77
May 2004,5.28
Jun 2004,5.16
Jul 2004,4.84
Aug 2004,4.44
Sep 2004,4.21
Oct 2004,5.13
Nov 2004,4.69
Dec 2004,4.91
Jan 2005,4.69
Feb 2005,4.72
Mar 2005,5.28
Apr 2005,5.53
May 2005,5.10
Jun 2005,5.91
Jul 2005,6.34
Aug 2005,7.83
Sep 2005,10.51
Oct 2005,11.25
Nov 2005,8.85
Dec 2005,10.82
Jan 2006,7.16
Feb 2006,6.27
Mar 2006,5.74
Apr 2006,5.78
May 2006,4.86
Jun 2006,4.89
Jul 2006,4.93
Aug 2006,5.46
Sep 2006,3.82
Oct 2006,4.73
Nov 2006,5.78
Dec 2006,4.98
Jan 2007,5.06
Feb 2007,6.10
Mar 2007,5.38
Apr 2007,5.62
May 2007,5.63
Jun 2007,5.44
Jul 2007,4.54
Aug 2007,4.55
Sep 2007,4.39
Oct 2007,4.78
Nov 2007,4.86
Dec 2007,4.91
Jan 2008,5.44
Feb 2008,5.80
Mar 2008,6.06
Apr 2008,6.43
May 2008,7.22
Jun 2008,8.15
Jul 2008,7.07
Aug 2008,5.51
Sep 2008,5.35
Oct 2008,5.06
Nov 2008,5.24
Dec 2008,4.31
Jan 2009,3.96
Feb 2009,3.54
Mar 2009,3.03
Apr 2009,2.65
May 2009,2.79
Jun 2009,2.71
Jul 2009,2.41
Aug 2009,2.21
Sep 2009,2.03
Oct 2009,2.71
Nov 2009,2.47
Dec 2009,3.68
Jan 2010,4.07
Feb 2010,3.90
Mar 2010,3.16
Apr 2010,2.99
May 2010,3.31
Jun 2010,3.92
Jul 2010,3.63
Aug 2010,3.34
Sep 2010,2.98
Oct 2010,2.47
Nov 2010,2.72
Dec 2010,3.21
Jan 2011,3.36
Feb 2011,2.98
Mar 2011,2.84
Apr 2011,2.94
May 2011,3.00
Jun 2011,3.16
Jul 2011,3.09
Aug 2011,2.82
Sep 2011,2.84
Oct 2011,2.60
Nov 2011,2.39
Dec 2011,2.40
Jan 2012,2.08
Feb 2012,1.91
Mar 2012,1.64
Apr 2012,1.48
May 2012,1.91
Jun 2012,1.96
Jul 2012,2.40
Aug 2012,2.29
Sep 2012,2.21
Oct 2012,2.56
Nov 2012,2.76
Dec 2012,2.55
Jan 2013,2.51
Feb 2013,2.49
Mar 2013,2.94
Apr 2013,3.20
May 2013,3.11
Jun 2013,2.90
Jul 2013,2.77
Aug 2013,2.58
Sep 2013,2.71
Oct 2013,2.69
Nov 2013,2.69
Dec 2013,3.10
Jan 2014,3.45
Feb 2014,4.37
Mar 2014,3.53
Apr 2014,3.35
May 2014,3.32
Jun 2014,3.36
Jul 2014,2.96
Aug 2014,2.91
Sep 2014,3.04
Oct 2014,2.98
Nov 2014,3.29
Dec 2014,2.78
Jan 2015,2.56
Feb 2015,2.51
Mar 2015,2.58
Apr 2015,2.39
May 2015,2.55
Jun 2015,2.47
Jul 2015,2.57
Aug 2015,2.48
Sep 2015,2.36
Oct 2015,2.07
Nov 2015,1.94
Dec 2015,1.77
Jan 2016,2.09
Feb 2016,1.77
Mar 2016,1.53
Apr 2016,1.68
May 2016,1.70
Jun 2016,2.29
Jul 2016,2.52
Aug 2016,2.49
Sep 2016,2.65
Oct 2016,2.68
Nov 2016,2.31
Dec 2016,3.40
Jan 2017,3.07
Feb 2017,2.65
Mar 2017,2.71
Apr 2017,2.87
May 2017,2.82
Jun 2017,2.62
Jul 2017,2.57
Aug 2017,2.44
Sep 2017,2.48
Oct 2017,2.43
Nov 2017,2.55
Dec 2017,2.33
Jan 2018,3.17
Feb 2018,2.16
Mar 2018,2.19
Apr 2018,2.26
May 2018,2.37
Jun 2018,2.53
Jul 2018,2.42
Aug 2018,2.56
Sep 2018,2.56
Oct 2018,2.86
Nov 2018,3.63
Dec 2018,3.50
Jan 2019,2.69
Feb 2019,2.39
Mar 2019,2.59
Apr 2019,2.35
May 2019,2.33
Jun 2019,2.11
Jul 2019,2.09
Aug 2019,2.00
Sep 2019,2.34
Oct 2019,2.04
Nov 2019,2.38
Dec 2019,1.98
Jan 2020,1.82
Feb 2020,1.74
Mar 2020,1.61
Apr 2020,1.59
May 2020,1.61
Jun 2020,1.44
Jul 2020,1.52
Aug 2020,1.94
Sep 2020,1.63
Oct 2020,1.91
Nov 2020,2.19
Dec 2020,2.09
Jan 2021,2.19
Feb 2021,4.19
Mar 2021,2.15
Apr 2021,2.18
May 2021,2.38
Jun 2021,2.69
Jul 2021,3.22
Aug 2021,3.44
Sep 2021,4.35
Oct 2021,4.72
Nov 2021,4.39
Dec 2021,3.30
Jan 2022,3.83
Feb 2022,4.11
Mar 2022,4.43
